"","key","Section","Question1","Question3","Question5","Question6","Question6_7_TEXT","Question7","Question8","Question8_6_TEXT","Question9","Question10_1","Question10_2","Question11","Question12","Question13","Question14_1","Question14_2","Question14_3","Question15_1","Question15_2","Question15_3","Question15_4","Question15_5","Question15_6","Question15_7","Question15_8","Question15_9","Question16_1","Question16_2","Question16_3","Question16_4","Question16_5","Question17_1","Question17_2","Question17_3","Question17_4","Question17_5","Question18_1","Question18_2","Question18_3","Question18_4","Question19_1","Question19_2","Question19_3","Question19_4","Question20_1","Question20_2","Question20_3","Question20_4","Question21_1","Question21_2","Question21_3","Question21_4","Question22_1","Question22_2","Question22_3","Question22_4","Question22_5","Question22_6"
"29","disgraced-beet",3,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science","","Took AP Calculus AB,Took AP Calculus BC,Took other AP courses","Sophomore","","I have not declared a major","Neither agree nor disagree","Neither agree nor disagree","No",NA,"","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Sometimes","Often","Always","Rarely","Rarely","More than 10 hours","Less than 1 hour","More than 10 hours","Less than 1 hour","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree"
"30","awkward-dragonfruit",2,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science","","Took AP Calculus AB,Took AP Calculus BC","Sophomore","","I have not declared a major","Strongly agree","Strongly disagree","No","Mathematics","","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Strongly disagree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree","Never","Always","Always","Sometimes","Often","Between 1 and 5 hours","Less than 1 hour","Between 5 and 10 hours","Less than 1 hour","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree"
"31","inflated-passionfruit",1,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science","","Took AP Computer Science A,Took AP Computer Science Principles,Took AP Calculus AB,Took other AP courses,Took other dual enrollment courses,Took a computer science or programming course not associated with AP or dual enrollment,Learned a computer programming language on my own,Engaged in software or hardware related projects,Took part in student groups related to computer science","First Year","","I have not declared a major","Strongly agree","Neither agree nor disagree","No",NA,"","Neither agree nor disagree","Strongly agree","Somewhat agree","Strongly disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Rarely","Sometimes","Often","Sometimes","Often","Between 5 and 10 hours","Between 1 and 2 hours","More than 10 hours","Between 1 and 5 hours","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"32","dignified-sage",1,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science,A teacher or other mentor encouraged me to,It helped build my computer science skills for my other interests","","Took AP Calculus BC,Took other AP courses,Took other dual enrollment courses,Took part in student groups related to computer science","First Year","","I have not declared a major","Strongly disagree","Somewhat disagree","No","Math","","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Strongly disagree","Somewhat agree","Sometimes","Rarely","Sometimes","Rarely","Often","Between 1 and 5 hours","Between 1 and 2 hours","Between 5 and 10 hours","Less than 1 hour","","","","","","","","","","","","","","","","","",""
"33","fine-dragonfruit",3,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science","","Took AP Calculus AB,Took dual enrollment courses in computer science,Took other dual enrollment courses","Sophomore","","I have not declared a major","Somewhat agree","Neither agree nor disagree","No",NA,"","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Rarely","Sometimes","Often","Sometimes","Never","Between 1 and 5 hours","Between 1 and 2 hours","Between 1 and 5 hours","Between 1 and 2 hours","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly agree"
"34","questioned-banana",3,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science,It helped build my computer science skills for my other interests","","Took a computer science or programming course not associated with AP or dual enrollment,Took part in student groups related to computer science","Sophomore","","I have not declared a major","Somewhat agree","Strongly agree","No",NA,"","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Rarely","Rarely","Often","Rarely","Always","Between 1 and 5 hours","Less than 1 hour","Between 5 and 10 hours","Less than 1 hour","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree"
"35","protected-huckleberry",2,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor","","","Junior","","I have declared a major,I have declared a second major","","","No","ES&P","Statistics","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Never","Sometimes","Always","Always","Always","Between 1 and 5 hours","More than 10 hours","More than 10 hours","Between 1 and 2 hours","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree"
"36","light-hearted-beet",2,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science","","Took AP Calculus AB,Took AP Calculus BC","Senior","","I have declared a major,I have declared a minor","","","No","Biological Sciences","Minor: Statistical and Data Sciences","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Strongly disagree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Never","Often","Sometimes","Often","Always","Between 5 and 10 hours","Between 5 and 10 hours","More than 10 hours","Between 1 and 5 hours","Somewhat agree","Somewhat agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly agree","Strongly agree"
"37","accused-legume",1,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science","","","Sophomore","","I have declared a major","","","No","Engineering","","Strongly disagree","Strongly disagree","Neither agree nor disagree","Strongly disagree","Somewhat agree","Strongly disagree","Strongly disagree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree","Rarely","Often","Often","Often","Often","Between 5 and 10 hours","Between 1 and 2 hours","Between 5 and 10 hours","Less than 1 hour","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree"
"38","insensitive-lychee",3,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science,It helped build my computer science skills for my other interests","","","Senior","","I have declared a major","","","No","Biology","","Strongly disagree","Strongly disagree","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Sometimes","Often","Sometimes","Sometimes","Sometimes","Between 1 and 5 hours","Less than 1 hour","Between 1 and 5 hours","Less than 1 hour","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree"
"39","stupid-tamarillo",2,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science","","Took AP Computer Science A,Took a computer science or programming course not associated with AP or dual enrollment,Learned a computer programming language on my own,Engaged in software or hardware related projects","Junior","","I have declared a major,I have declared a minor","","","No","Engineering","English (minor)","Strongly disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat disagree","Strongly disagree","Strongly disagree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Rarely","Often","Often","Often","Sometimes","Between 5 and 10 hours","Between 1 and 5 hours","More than 10 hours","Between 1 and 2 hours","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree"
"40","hysterical-breadfruit",1,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor","","Took AP Calculus AB,Took other AP courses,Took other dual enrollment courses","Sophomore","","I have declared a major","","","No","Engineering","","Strongly disagree","Somewhat disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Strongly disagree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Rarely","Never","Sometimes","Sometimes","Never","Between 1 and 5 hours","Between 1 and 2 hours","More than 10 hours","Less than 1 hour","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Strongly agree"
"41","convicted-kumquat",2,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science","","Took AP Calculus AB,Took other AP courses,Took other dual enrollment courses","Sophomore","","I have declared a major","","","No","SDS","","Strongly disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Sometimes","Often","Always","Often","Sometimes","Between 1 and 5 hours","Between 1 and 2 hours","Between 1 and 5 hours","Less than 1 hour","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Somewhat agree"
"42","contemplative-dill",3,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science","","Took AP Calculus AB,Took other AP courses","Sophomore","","I have not declared a major","Somewhat disagree","Somewhat disagree","No","","","Strongly disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Sometimes","Often","Always","Rarely","Sometimes","Between 1 and 5 hours","Less than 1 hour","Between 5 and 10 hours","Less than 1 hour","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree"
"43","tormented-lettuce",3,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science","","Took other AP courses","Sophomore","","I have not declared a major","Somewhat disagree","Somewhat agree","Yes","","","","","","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Rarely","Sometimes","Sometimes","Often","Often","Between 1 and 5 hours","Less than 1 hour","Between 5 and 10 hours","Less than 1 hour","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree"
"44","disbelieving-mango",3,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science,It helped build my computer science skills for my other interests","","","Senior","","I have declared a major,I have declared a second major,I have declared a program of study or concentration","","","No","Russian, East European and Eurasian Studies","Studio Art; Digital Media Concentration","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree","Sometimes","Sometimes","Rarely","Rarely","Never","Between 5 and 10 hours","Between 1 and 2 hours","Between 5 and 10 hours","Less than 1 hour","Strongly agree","Strongly agree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"45","treasured-avocado",2,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science","","","Sophomore","","I have not declared a major","Neither agree nor disagree","Strongly disagree","No","SDS","","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Strongly agree","Sometimes","Often","Sometimes","Sometimes","Sometimes","Between 5 and 10 hours","Between 1 and 5 hours","Between 5 and 10 hours","Between 1 and 5 hours","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree"
"46","fantastic-tangerine",3,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science,A teacher or other mentor encouraged me to,It helped build my computer science skills for my other interests","","Took AP Calculus AB","Sophomore","","I have not declared a major","Somewhat disagree","Somewhat agree","No","N/A","","Strongly disagree","Strongly disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly disagree","Somewhat agree","Strongly agree","Never","Sometimes","Often","Often","Sometimes","Between 5 and 10 hours","Between 1 and 2 hours","More than 10 hours","Less than 1 hour","Somewhat agree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat disagree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree"
"47","crushed-carrot",2,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science","","Took AP Computer Science A,Took AP Calculus AB,Completed an online course related to computer science or programming (e.g., MOOC),Learned a computer programming language on my own","Sophomore","","I have declared a major","","","No","Engineering","","Strongly disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Somewhat disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly disagree","Strongly agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Rarely","Sometimes","Sometimes","Rarely","Often","Between 5 and 10 hours","Less than 1 hour","More than 10 hours","Less than 1 hour","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree"
"48","leery-pomelo",3,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science","","Took AP Calculus AB,Took other AP courses","Sophomore","","I have not declared a major","Somewhat disagree","Somewhat disagree","No","","","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Often","Always","Often","Often","Often","Between 1 and 5 hours","Between 1 and 2 hours","Between 5 and 10 hours","Less than 1 hour","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree"
"49","desired-carrot",3,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science,It helped build my computer science skills for my other interests","","Took AP Computer Science A,Took AP Calculus AB,Took AP Calculus BC,Took other AP courses,Took dual enrollment courses in computer science,Completed an online course related to computer science or programming (e.g., MOOC),Engaged in software or hardware related projects","Senior","","I have declared a major,I have declared a second major","","","No","Mathematics","Economics","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","Strongly agree","Somewhat disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Rarely","Always","Always","Often","Always","Between 5 and 10 hours","Between 5 and 10 hours","More than 10 hours","Less than 1 hour","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree"
"50","betrayed-celeriac",3,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,It fulfilled another requirement","","Took AP Computer Science A,Took AP Calculus BC,Took a computer science or programming course not associated with AP or dual enrollment","Sophomore","","I have not declared a major","Somewhat disagree","Somewhat disagree","No","","","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Somewhat agree","Somewhat agree","Sometimes","Always","Always","Often","Rarely","Between 1 and 5 hours","Between 1 and 2 hours","Between 5 and 10 hours","Between 1 and 2 hours","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree"
"51","renewed-anise",2,"","","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It fulfilled another requirement,Curiosity or interest in computer science","","","Senior","","I have not declared a major,I have declared a second major","Strongly disagree","Strongly disagree","No","Film & Media Studies","American Studies","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Sometimes","Sometimes","Sometimes","Rarely","Sometimes","Between 1 and 5 hours","Less than 1 hour","Between 1 and 5 hours","Less than 1 hour","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat agree","Strongly disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree"
